2025-09-06 00:18:10 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:17:21 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:17:21 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:17:21 | INFO     | src.ui.main_window.main_window_mvp:__init__:20 - 主窗口MVP初始化完成
2025-09-06 08:17:21 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 08:17:31 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:36 - 用户点击开始自动化
2025-09-06 08:17:35 | INFO     | src.ui.main_window.main_window_mvp:on_stop_automation:61 - 用户点击停止自动化
2025-09-06 08:17:37 | INFO     | __main__:main:98 - 应用程序退出，退出码: 0
2025-09-06 08:32:09 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:32:09 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:32:09 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:32:09 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:32:37 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:32:37 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:32:37 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:32:37 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:33:08 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:33:08 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:33:08 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:33:08 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:33:38 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:33:38 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:33:38 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:33:38 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:35:47 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:35:47 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:35:47 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:35:47 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:35:38 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:35:38 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:35:38 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:35:38 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:35:38 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:35:38 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:35:38 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:35:42 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:35:42 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'TaskManager' object has no attribute 'start_concurrent_manager'
2025-09-06 09:36:27 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:36:27 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:36:27 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:36:27 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:36:27 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:36:27 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:36:27 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:36:31 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:36:31 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'MetricsCollector' object has no attribute 'record_gauge'
2025-09-06 09:37:05 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:37:05 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'MetricsCollector' object has no attribute 'record_gauge'
2025-09-06 09:37:14 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:37:14 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:37:14 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:37:14 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:37:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:37:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:37:15 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:37:17 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:37:17 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'AutomationController' object has no attribute 'get_available_tasks'
2025-09-06 09:37:48 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:37:48 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:37:48 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:37:48 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:37:48 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:37:48 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:37:48 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:38:02 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:38:02 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'AutomationController' object has no attribute 'get_available_tasks'
2025-09-06 09:42:51 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:42:51 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:42:51 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:42:51 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:42:52 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:42:52 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:42:52 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:53:51 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:53:51 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:53:51 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:53:51 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:53:51 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-06 09:53:51 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-06 09:53:52 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:30:11 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:30:11 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:30:11 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:30:11 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:30:12 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:30:12 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:30:12 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:31:25 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:31:25 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:32:26 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:32:26 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:37:16 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:37:16 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:37:16 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:37:16 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:37:16 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:37:16 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:37:17 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:37:51 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:37:51 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:39:13 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:39:13 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:40:40 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:40:41 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:40:41 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:40:41 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:40:42 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:40:42 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:40:42 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:40:42 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:40:42 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:40:42 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:42:46 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:42:46 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:42:46 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:42:46 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:42:46 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:42:46 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:42:46 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:43:06 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:44:28 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:44:28 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:44:28 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:44:28 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:44:28 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:44:28 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:44:28 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:45:14 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:45:14 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:45:14 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:45:14 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:45:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:45:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:45:15 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:46:11 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:46:15 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:46:15 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:46:15 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:46:15 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:46:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:46:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:46:15 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:46:19 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:50:48 | INFO     | src.ui.main_window.main_window_mvp:on_stop_automation:150 - 用户点击停止自动化
2025-09-07 23:50:57 | INFO     | __main__:main:98 - 应用程序退出，退出码: 0
2025-09-07 23:59:30 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:30 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 200)
2025-09-07 23:59:30 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:31 | INFO     | core.game_operator:click:249 - 点击操作成功: (150, 125)
2025-09-07 23:59:31 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:31 | INFO     | core.game_operator:click:249 - 点击操作成功: (150, 125)
2025-09-07 23:59:31 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:32 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:32 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:33 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:33 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:33 | INFO     | core.game_operator:swipe:316 - 滑动操作成功: (100, 100) -> (200, 200)
2025-09-07 23:59:33 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:33 | INFO     | core.game_operator:input_text:383 - 文本输入成功: Hello World...
2025-09-07 23:59:33 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:33 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:34 | INFO     | core.game_operator:input_text:383 - 文本输入成功: Hello World...
2025-09-07 23:59:34 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:34 | INFO     | core.game_operator:wait_for_condition:446 - 等待条件满足: ui_element_appear
2025-09-07 23:59:34 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:35 | WARNING  | core.game_operator:wait_for_condition:448 - 等待条件超时: ui_element_appear
2025-09-07 23:59:35 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:36 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | ERROR    | core.game_operator:_perform_click:518 - 执行点击失败: Failed
2025-09-07 23:59:36 | WARNING  | core.game_operator:click:251 - 点击操作失败: (100, 100)
2025-09-07 23:59:36 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:36 | INFO     | core.game_operator:wait_for_condition:446 - 等待条件满足: custom
2025-09-07 23:59:52 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:52 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 200)
2025-09-07 23:59:52 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:53 | INFO     | core.game_operator:click:249 - 点击操作成功: (150, 125)
2025-09-07 23:59:53 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:53 | INFO     | core.game_operator:click:249 - 点击操作成功: (150, 125)
2025-09-07 23:59:53 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:54 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:54 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:55 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:55 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:55 | INFO     | core.game_operator:swipe:316 - 滑动操作成功: (100, 100) -> (200, 200)
2025-09-07 23:59:55 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:55 | INFO     | core.game_operator:input_text:383 - 文本输入成功: Hello World...
2025-09-07 23:59:55 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:55 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:56 | INFO     | core.game_operator:input_text:383 - 文本输入成功: Hello World...
2025-09-07 23:59:56 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:56 | INFO     | core.game_operator:wait_for_condition:446 - 等待条件满足: ui_element_appear
2025-09-07 23:59:56 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:57 | WARNING  | core.game_operator:wait_for_condition:448 - 等待条件超时: ui_element_appear
2025-09-07 23:59:57 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | INFO     | core.game_operator:click:249 - 点击操作成功: (100, 100)
2025-09-07 23:59:58 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | ERROR    | core.game_operator:_perform_click:518 - 执行点击失败: Failed
2025-09-07 23:59:58 | WARNING  | core.game_operator:click:251 - 点击操作失败: (100, 100)
2025-09-07 23:59:58 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | INFO     | core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-07 23:59:58 | INFO     | core.game_operator:wait_for_condition:446 - 等待条件满足: custom
2025-09-08 00:01:20 | INFO     | src.core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-08 00:01:21 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (500, 300)
2025-09-08 00:01:22 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (400, 300)
2025-09-08 00:01:23 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (410, 300)
2025-09-08 00:01:24 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (420, 300)
2025-09-08 00:01:25 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (430, 300)
2025-09-08 00:01:26 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (440, 300)
2025-09-08 00:01:27 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (450, 300)
2025-09-08 00:01:27 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (460, 300)
2025-09-08 00:01:28 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (470, 300)
2025-09-08 00:01:29 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (480, 300)
2025-09-08 00:01:30 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (490, 300)
2025-09-08 00:01:30 | ERROR    | src.core.game_operator:_perform_click:518 - 执行点击失败: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED.
2025-09-08 00:01:30 | WARNING  | src.core.game_operator:click:251 - 点击操作失败: (-100, -100)
2025-09-08 00:01:53 | INFO     | src.core.game_operator:__init__:181 - GameOperator初始化完成
2025-09-08 00:01:53 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (500, 300)
2025-09-08 00:01:54 | INFO     | src.core.game_operator:wait_for_condition:446 - 等待条件满足: custom
2025-09-08 00:01:55 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (400, 300)
2025-09-08 00:01:56 | INFO     | src.core.game_operator:click:249 - 点击操作成功: (410, 300)
